Date,Close,High,Low,Open,Volume,Daily_Return,Close_Lag_1,Close_Lag_7,Close_Lag_14,Close_Lag_30,Close_Lag_90,Close_Lag_180,MA_7,MA_21,MA_60,MA_180,Volatility_7,Volatility_21,Volatility_60,Volatility_180,HL_Spread,Volume_MA_7,Volume_MA_21,Volume_MA_60,Volume_MA_180,Volume_Change,Target_Return_7,Target_Return_30,Target_Return_365,Target_Up
2021-06-30,2274.547607421875,2282.989013671875,2090.7607421875,2164.21630859375,25828056268.0,0.052656870391718735,2160.768310546875,1989.736328125,2367.66357421875,2714.9453125,1977.27685546875,730.3675537109375,2017.8258405412946,2196.6270577566966,2741.5088745117187,2079.728921508789,0.055443657168934575,0.06049884555415632,0.08293136970721492,0.06745423304457597,192.228271484375,22818283056.857143,25230027863.904762,38252111628.75,34587386694.583336,0.040819132392680535,0.01785597174575515,0.08459432448524118,-0.530764348636893,1
2021-07-01,2113.60546875,2274.3974609375,2081.0810546875,2274.3974609375,29061701793.0,-0.07075786769497328,2274.547607421875,1988.456298828125,2372.001953125,2633.518310546875,2143.2255859375,774.5349731445312,2035.7042933872767,2179.5835774739585,2727.534696451823,2087.1682020399307,0.06537302839024797,0.06134840955754669,0.08341936568507148,0.06759956392595326,193.31640625,24073833917.42857,25244698121.190475,38269273107.85,34639169642.43889,0.12519894998859704,0.0030378888266680004,0.19994483286298026,-0.498597373231094,1
2021-07-02,2150.040283203125,2155.596435546875,2021.8248291015625,2109.892578125,31796212554.0,0.017238228700587443,2113.60546875,1813.21728515625,2231.733154296875,2706.125,2028.4224853515625,975.5076904296876,2083.82186453683,2169.8822195870534,2706.1839314778645,2093.693383110894,0.04890188191788364,0.06075357295028991,0.08063140811667102,0.06492098252772902,133.7716064453125,25362673568.285713,25576300424.0,37979638480.21667,34564701582.361115,0.09409327714107407,-0.0015571337973432353,0.1915367683086424,-0.5039568208489916,0
2021-07-03,2226.1142578125,2237.567138671875,2117.590087890625,2150.8349609375,17433361641.0,0.035382581063104546,2150.040283203125,1829.2392578125,2178.4990234375,2855.12646484375,2093.122802734375,1040.2330322265625,2140.518293108259,2162.9122140066966,2689.0586791992187,2100.281612141927,0.048405439648451516,0.06128128943478533,0.0805506205676839,0.06480250373173158,119.97705078125,24904933465.42857,25181490768.333332,37230160421.6,34345187003.905556,-0.45171577868299084,-0.051529562311009136,0.17251543183474216,-0.5176496606115003,0
2021-07-04,2321.72412109375,2384.286865234375,2190.837646484375,2226.55029296875,18787107473.0,0.0429492165308718,2226.1142578125,1978.8946533203125,2246.364501953125,2688.195068359375,2107.88720703125,1100.006103515625,2189.4939313616073,2154.0232863653273,2669.0410278320314,2107.0689344618054,0.04336714006316257,0.06067456972927494,0.0799946459380384,0.06474757792309936,193.44921875,24748023855.57143,24785974678.0,36737708906.433334,34218804641.083332,0.07765259849920425,-0.07841557251259812,0.0777979978931167,-0.5042222839598216,0
2021-07-05,2198.58251953125,2321.9228515625,2163.04150390625,2321.9228515625,20103794829.0,-0.05303886040710504,2321.72412109375,2079.657470703125,1888.447509765625,2630.576904296875,2118.37890625,1207.1121826171875,2206.483224051339,2137.8657342819943,2647.5027303059896,2112.577103000217,0.049887561478273695,0.0615891855400423,0.08024572673647831,0.06453566980644576,158.88134765625,23975051282.42857,24459270796.95238,36334432240.45,34082159533.533333,0.07008462361181911,-0.07362082103237244,0.23926204672444085,-0.4839670535236993,0
2021-07-06,2324.679443359375,2346.294921875,2197.91943359375,2197.91943359375,20891861314.0,0.057353737104673064,2198.58251953125,2160.768310546875,1874.9500732421875,2715.0927734375,1971.0772705078125,1225.6781005859375,2229.899100167411,2124.2344331287204,2628.1685709635417,2118.682666015625,0.0521539342824843,0.06267701402587819,0.08064096547885188,0.06464750345390839,148.37548828125,23414585124.57143,24072917563.38095,36022509253.76667,33973403055.944443,0.039199886971747366,-0.16544021158831224,0.21622310787767174,-0.4894031508670498,0
2021-07-07,2315.161865234375,2403.7734375,2298.02685546875,2323.20849609375,22398345285.0,-0.004094146464876158,2324.679443359375,2274.547607421875,1989.736328125,2590.26318359375,2088.57373046875,1224.1971435546875,2235.7011369977677,2121.734351748512,2601.7104736328124,2124.743581136068,0.04904115233176937,0.05922861721220276,0.07899778160454282,0.06464957865304735,105.74658203125,22924626412.714287,23991794663.61905,35559006820.416664,33851533714.93889,0.07210865266420652,-0.13857802826834775,0.24869958070856568,-0.4654398025583516,0
2021-07-08,2120.0263671875,2324.0068359375,2089.414306640625,2317.94921875,23188123689.0,-0.08428589852706492,2315.161865234375,2113.60546875,1988.456298828125,2517.438720703125,2072.10888671875,1281.0772705078125,2236.618408203125,2109.7355143229165,2571.5635009765624,2129.404409450955,0.05259635055221449,0.06205838319235109,0.0796301242772431,0.06492254189206129,234.592529296875,22085543826.42857,24054484687.57143,35102670710.6,33795728261.205555,0.03526056920503451,-0.09851325966519986,0.4892450482678439,-0.42335329196506344,0
2021-07-09,2146.6923828125,2185.376220703125,2051.066650390625,2115.573974609375,23029574602.0,0.012578152818153887,2120.0263671875,2150.040283203125,1813.21728515625,2608.26708984375,2135.942138671875,1262.2467041015625,2236.14013671875,2105.6859537760415,2541.4701416015623,2134.3179965549043,0.0523951743397112,0.06079975815049453,0.07965297613166639,0.06490828822090149,134.3095703125,20833166976.142857,24067663554.904762,34441633803.85,33698020686.47778,-0.006837512561450265,-0.1240557102519183,0.40389591454513285,-0.4330914474620976,0
