Date,Close,High,Low,Open,Volume,Daily_Return,Close_Lag_1,Close_Lag_7,Close_Lag_14,Close_Lag_30,Close_Lag_90,Close_Lag_180,MA_7,MA_21,MA_60,MA_180,Volatility_7,Volatility_21,Volatility_60,Volatility_180,HL_Spread,Volume_MA_7,Volume_MA_21,Volume_MA_60,Volume_MA_180,Volume_Change,Target_Return_7,Target_Return_30,Target_Return_365,Target_Up
2021-06-30,35.55640411376953,35.9547233581543,31.60135078430176,33.96297073364258,570984168.0,0.049889620148910074,33.86680221557617,30.048887252807617,39.70361709594727,32.816246032714844,19.084901809692383,1.842084050178528,31.981875555855886,34.565110161190944,37.6397333463033,22.65118285682466,0.04888738682253334,0.07886698051452025,0.11109927600279544,0.10155819270525825,4.3533725738525355,549621303.0,586280454.8095238,855406994.8833333,463366859.79444444,0.2100858112595394,0.02910771043734206,-0.08894207403621412,-0.05534831515160876,1
2021-07-01,33.40403366088867,35.53819274902344,32.38627243041992,35.505653381347656,474665321.0,-0.060533974301617666,35.55640411376953,31.18103408813477,39.264591217041016,30.985260009765625,19.810222625732425,1.799275040626526,32.29944692339216,34.19869867960612,37.41495078404744,22.826764849159453,0.05801215696202304,0.07973110217472223,0.11116660939388062,0.10168827373058972,3.1519203186035156,525837725.4285714,580538484.9047619,853800213.7833333,465827939.0,-0.16868917283184637,-0.0059964596118591285,0.10248100104754476,-0.01799074921999433,0
2021-07-02,34.02048110961914,34.03178787231445,31.479923248291016,33.30630874633789,440298780.0,0.01845428174898056,33.40403366088867,28.698862075805664,36.64879608154297,33.95631790161133,22.552276611328125,2.1617519855499268,33.05967821393694,34.10224133446103,37.21639731725057,23.003757788737616,0.042023668590319516,0.07525357079348287,0.11115427770147228,0.10078943614803686,2.5518646240234375,498444383.0,576806683.8095238,850985289.25,467968079.87777776,-0.0724016259026431,-0.02221698951533735,0.006874655552397302,-0.01943158226403907,0
2021-07-03,34.478816986083984,35.40476989746094,33.2984733581543,34.01557540893555,327019964.0,0.01347235140467351,34.02048110961914,29.712854385375977,35.35343551635742,39.47090530395508,24.061323165893555,2.4850969314575195,33.740530014038086,34.00877126057943,37.07888498306274,23.181500677929986,0.04197138666291973,0.07527341368640215,0.11076959595742766,0.10032470198322929,2.1062965393066406,465112562.14285713,566232852.7142857,845052681.5166667,469451771.87222224,-0.25727715166505793,-0.07802391237844253,-0.036439685497955066,-0.03169726107951454,0
2021-07-04,34.31060028076172,35.50237274169922,33.55573654174805,34.4951171875,303420520.0,-0.0048788421421234185,34.478816986083984,31.929391860961918,35.32201385498047,37.415069580078125,22.984283447265625,2.157217025756836,34.08070264543806,33.7963981628418,36.902002048492434,23.360130584902233,0.03573261619478985,0.07385156586026673,0.11058971816077073,0.09969695313091724,1.9466361999511719,437407881.0,559110559.6666666,841713323.9333333,470856579.1666667,-0.07216514769110549,-0.062160355015244084,-0.00915633625584511,0.07211853083246567,0
2021-07-05,32.984588623046875,34.461822509765625,32.48269271850586,34.28255081176758,313839322.0,-0.03864728821017893,34.31060028076172,32.92778015136719,26.657400131225582,39.58539962768555,24.95714569091797,1.929216980934143,34.0888181413923,33.52361406598772,36.727483908335365,23.532660427358415,0.03873079955444374,0.07425876094775001,0.11062402162113864,0.09934790569616977,1.9791297912597656,414583193.4285714,551299505.3333334,840419029.0,472320886.65,0.034337829227897965,-0.064772713604894,0.08425260376429788,0.07309368000229455,0
2021-07-06,34.26913833618164,34.97831726074219,32.93030548095703,32.93030548095703,365336040.0,0.038943936145901414,32.984588623046875,33.86680221557617,26.7718563079834,42.30837631225586,26.47808074951172,2.3727450370788574,34.14629473005022,33.19578025454567,36.579385916392006,23.70986261235343,0.04014474919300158,0.0733396929651269,0.11072134095837267,0.0981140741850276,2.0480117797851562,399366302.14285713,539873357.5714285,837935552.9833333,473462363.10555553,0.1640862517540107,-0.1502211455756024,0.09005182753305552,0.08183527284453884,0
2021-07-07,36.59136962890625,38.01170349121094,33.8420295715332,34.23280715942383,519252659.0,0.06776450781876764,34.26913833618164,35.55640411376953,30.048887252807617,38.262332916259766,27.03398704528809,3.219887018203736,34.29414694649832,33.04757799421038,36.42988322575887,23.895259737968445,0.04404869644218711,0.07470900425949106,0.11082989950729949,0.09487348804370853,4.169673919677734,391976086.5714286,537170298.3809524,839072153.05,475200365.9111111,0.42130149272981665,-0.14512628375031067,0.07801655260186191,0.05266097232253486,0
2021-07-08,33.20372772216797,36.915283203125,32.80227279663086,36.71971893310547,498201257.0,-0.09258035271962406,36.59136962890625,33.40403366088867,31.18103408813477,41.51781463623047,27.77827453613281,3.385381937026977,34.265531812395366,32.758965446835475,36.24444208145142,24.06091721455256,0.05278627938484814,0.07733167745152648,0.11144968779369485,0.09519752933347833,4.113010406494141,395338363.14285713,541000091.5714285,838865452.1333333,477457556.9222222,-0.04054173172755959,-0.14310522626082844,0.186718347713817,0.15308499684863253,0
2021-07-09,33.2646484375,34.38794708251953,31.99104881286621,33.13433074951172,327170629.0,0.0018347552974107284,33.20372772216797,34.02048110961914,28.698862075805664,42.031776428222656,26.84140396118164,3.466110944747925,34.15755571637835,32.5978155590239,36.08369232813517,24.22646464506785,0.05220744207374829,0.07602939881149465,0.11136188787642387,0.09520320415073395,2.3968982696533203,379177198.71428573,536381389.6666667,835992828.0166667,478926466.1,-0.3432962594873581,-0.20726628095367405,0.13254839837213406,0.14451714470246313,0
